ID_ViThuoc,TenVietNam,TenGoiKhac,TenKhoaHoc,HoThucVat,CongDung,LieuDung,TinhVi,QuyKinh
200,Rau đắng,(Không có),Glinus oppositifolius (L.) Aug.DC.,Molluginaceae (Rau đắng),"Lợi tiểu, chữa sốt, viêm gan, vàng da.",10-20g/ngày.,"Vị đắng, tính mát.",(Không ghi rõ)
201,Cây lá tiết dê,(Không có),Stephania hernandifolia Walp.,Menispermaceae (Tiết dê),Lợi tiểu.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
202,Khế rừng,(Không có),Rourea minor (Gaertn.) Leenh.,Connaraceae (Khế rừng),Lợi tiểu.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
203,Mã thầy,củ năn,Eleocharis dulcis (Burm.f.) Trin. ex Hensch.,Cyperaceae (Cói),"Lợi tiểu, thanh nhiệt, chữa vàng da, sốt.",10-20g/ngày.,"Vị ngọt, tính hàn.",(Không ghi rõ)
204,Mùi tây,(Không có),Petroselinum sativum Hoffm.,Apiaceae (Hoa tán),"Lợi tiểu, điều kinh.",2-4g/ngày.,(Không ghi rõ),(Không ghi rõ)
205,Thương lục,(Không có),Phytolacca acinosa Roxb.,Phytolaccaceae (Thương lục),"Lợi tiểu, chữa thủy thũng.",4-8g/ngày.,"Vị đắng, tính hàn, có độc.",(Không ghi rõ)
206,Cỏ thiên thảo,(Không có),Equisetum arvense L.,Equisetaceae (Mộc tặc),"Lợi tiểu, chữa phù thũng, sỏi thận, viêm bàng quang.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
207,Dứa bà,(Không có),Agave americana L.,Amaryllidaceae (Thủy tiên),Lợi tiểu.,10-20g/ngày (lá tươi).,(Không ghi rõ),(Không ghi rõ)
208,Lục lạc ba lá tròn,(Không có),Crotalaria mucronata Desv.,Papilionaceae (Cánh bướm),Lợi tiểu.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
209,Rau muống,(Không có),Ipomoea aquatica Forssk.,Convolvulaceae (Bìm bìm),Lợi tiểu.,(Ăn).,(Không ghi rõ),(Không ghi rõ)
210,Cỏ nhọ nồi,"hạn liên thảo, cỏ mực",Eclipta prostrata (L.) L.,Asteraceae (Cúc),"Cầm máu (rong kinh, trĩ ra máu, bị thương chảy máu). Bổ thận, đen tóc.",6-12g khô/ngày (dạng thuốc sắc).,"Vị ngọt, chua, tính lương.","Can, Thận."
211,Cây nghể,"thủy liễu, nghể răm",Polygonum hydropiper L.,Polygonaceae (Rau răm),"Cầm máu (rong kinh, băng huyết), chữa rắn cắn.",15-20g/ngày.,"Vị cay, tính ấm.",(Không ghi rõ)
212,Cỏ nến (Phấn hoa),bồ hoàng,Typha angustifolia L.,Typhaceae (Hương bồ),"Cầm máu (thổ huyết, máu cam, rong kinh, tiểu ra máu).",6-12g/ngày.,"Vị ngọt, tính bình.","Can, Tỳ, Tâm bào."
213,Long nha thảo,tiên hạc thảo,Agrimonia pilosa Ledeb.,Rosaceae (Hoa hồng),"Cầm máu, chữa lỵ.",6-12g/ngày.,"Vị đắng, chát, tính ôn.","Phế, Can, Tỳ."
214,Cây huyết dụ,(Không có),Cordyline fruticosa (L.) A.Chev.,Agavaceae (Thùa),"Cầm máu (rong kinh, băng huyết, thổ huyết, trĩ ra máu).",20-30g lá tươi hoặc 8-16g lá khô/ngày.,"Vị nhạt, tính mát.",(Không ghi rõ)
215,Cây trắc bách diệp,(Không có),Thuja orientalis L.,Cupressaceae (Hoàng đàn),"Cầm máu (thổ huyết, máu cam, ho ra máu, rong kinh).",6-12g/ngày.,"Vị đắng, chát, tính hơi hàn.","Can, Phế, Đại tràng."
216,Cây tam thất,(Không có),Panax notoginseng (Burkill) F.H.Chen,Araliaceae (Nhân sâm),"Cầm máu, bổ dưỡng. Chữa thổ huyết, máu cam, băng huyết, rong kinh, chấn thương tụ máu.",4-8g/ngày (dạng bột).,"Vị ngọt, hơi đắng, tính ôn.","Can, Vị."
217,Cây mào gà trắng,thanh tương tử,Celosia argentea L.,Amaranthaceae (Giền),"Chữa lỵ ra máu, xích bạch đới, rong kinh .",6-12g hạt/ngày (dạng thuốc sắc).,"Vị đắng, tính hàn.","Đại tràng, Can."
218,Cây mào gà đỏ,(Không có),Celosia cristata L.,Amaranthaceae (Giền),"Cầm máu (trĩ ra máu, lỵ ra máu, thổ huyết, rong kinh) .",8-15g hoa/ngày (dạng thuốc sắc).,"Vị ngọt, tính mát.","Can, Đại tràng."
219,Bách thảo sương,nhọ nồi,(Không có),(Sản phẩm cháy),"Cầm máu (thổ huyết, máu cam, lỵ ra máu, rong kinh).",6-10g/ngày.,"Vị cay, tính ôn.","Can, Phế, Vị."
220,Rau ngổ,(Không có),Enydra fluctuans Lour.,Asteraceae (Cúc),Cầm máu (băng huyết).,12-20g/ngày.,"Vị cay, tính mát.",(Không ghi rõ)
221,Thiến thảo,(Không có),Rubia cordifolia L.,Rubiaceae (Cà phê),"Cầm máu (thổ huyết, máu cam, tử cung xuất huyết), chữa bế kinh .",6-12g/ngày.,"Vị đắng, tính hàn.",Can.
222,Vạn tuế,(Không có),Cycas revoluta Thunb.,Cycadaceae (Thiên tuế),Cầm máu (dùng hạt).,1-2 hạt nướng chín/ngày.,"Vị ngọt, tính bình.",(Không ghi rõ)
223,Địa du,(Không có),Sanguisorba officinalis L.,Rosaceae (Hoa hồng),"Cầm máu (lỵ ra máu, trĩ ra máu, rong kinh).",6-12g/ngày.,"Vị đắng, chua, tính hơi hàn.","Can, Vị, Đại tràng."
224,Cây hoa hòe,(Không có),Sophora japonica L.,Papilionaceae (Cánh bướm),"Cầm máu, chữa cao huyết áp.",Nụ hoa: 5-20g/ngày. Quả: 6-12g/ngày.,"Vị đắng, tính bình.","Can, Đại tràng."
225,Mạch ba góc,kiều mạch,Fagopyrum esculentum Moench,Polygonaceae (Rau răm),Chữa cao huyết áp (do có rutin).,20-30g/ngày.,(Không ghi rõ),(Không ghi rõ)
226,Cây ba gạc,(Không có),Rauvolfia verticillata (Lour.) Baill.,Apocynaceae (Trúc đào),"Hạ huyết áp, an thần.",(Tùy theo hàm lượng ancaloit).,(Không ghi rõ),(Không ghi rõ)
227,Cây ba gạc Ấn Độ,(Không có),Rauvolfia serpentina Benth. ex Kurz,Apocynaceae (Trúc đào),"Hạ huyết áp, an thần.",(Tùy theo hàm lượng ancaloit).,(Không ghi rõ),(Không ghi rõ)
228,Cây ba kích,(Không có),Morinda officinalis How,Rubiaceae (Cà phê),"Bổ thận, tráng dương. Chữa cao huyết áp.",8-16g/ngày.,"Vị cay, ngọt, tính hơi ôn.",Thận.
229,Cây câu đằng,(Không có),Uncaria rhynchophylla (Miq.) Miq. ex Havil.,Rubiaceae (Cà phê),"Chữa cao huyết áp, nhức đầu, an thần.",6-12g/ngày.,"Vị ngọt, tính hàn.","Tâm, Can."
230,Cây nhàu,(Không có),Morinda citrifolia L.,Rubiaceae (Cà phê),Chữa cao huyết áp.,8-10g rễ/ngày.,(Không ghi rõ),(Không ghi rõ)
231,Cây dừa cạn,(Không có),Catharanthus roseus (L.) G.Don,Apocynaceae (Trúc đào),"Chữa cao huyết áp, lợi tiểu, chữa đái đường, ung thư máu.",8-20g/ngày.,"Vị hơi đắng, tính mát.",(Không ghi rõ)
232,Đỗ trọng,(Không có),Eucommia ulmoides Oliv.,Eucommiaceae (Đỗ trọng),"Hạ huyết áp, bổ can thận, mạnh gân cốt.",8-12g/ngày.,"Vị ngọt, hơi cay, tính ôn.","Can, Thận."
233,Hoàng cầm,(Không có),Scutellaria baicalensis Georgi,Lamiaceae (Hoa môi),"Hạ huyết áp, an thần, lợi tiểu, kháng sinh.",6-15g/ngày.,"Vị đắng, tính hàn.","Tâm, Phế, Can, Đởm, Đại tràng."
234,Hồi đầu thảo,(Không có),Crepis phoenix Dunn,Asteraceae (Cúc),"Hạ huyết áp, chữa lỵ.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
235,Rau cần tây,(Không có),Apium graveolens L.,Apiaceae (Hoa tán),Hạ huyết áp.,"Dùng cả cây, không kể liều.",(Không ghi rõ),(Không ghi rõ)
236,Cây chẹo,(Không có),Sapium discolor (Champ. ex Benth.) Muell. Arg.,Euphorbiaceae (Thầu dầu),Thuốc độc dùng duốc cá.,(Không dùng cho người).,Có độc.,(Không ghi rõ)
237,Cây củ đậu (Hạt),sắn nước,Pachyrhizus erosus (L.) Urb.,Papilionaceae (Cánh bướm),"Thuốc trừ sâu, duốc cá.",(Không dùng cho người).,Hạt có độc.,(Không ghi rõ)
238,Cây hột mát,(Không có),Hodgsonia heteroclita (Roxb.) Hook.f.,Cucurbitaceae (Bí),Thuốc độc.,(Không dùng).,Có độc.,(Không ghi rõ)
239,Cây lá ngón,đoạn trường thảo,Gelsemium elegans (Gardner et Champ.) Benth.,Loganiaceae (Mã tiền),Thuốc độc gây chết người.,(Không dùng).,Rất độc.,(Không ghi rõ)
240,Cây sui,(Không có),Antiaris toxicaria Lesch.,Moraceae (Dâu tằm),"Thuốc độc tẩm tên, tác dụng trên tim.",(Không dùng).,Rất độc.,(Không ghi rõ)
241,Thân mát,ba đậu,Croton tiglium L.,Euphorbiaceae (Thầu dầu),Thuốc tẩy mạnh.,0.01-0.05g.,"Vị cay, tính nóng, rất độc.",(Không ghi rõ)
242,Hồi núi,đại hồi núi,Illicium griffithii Hook.f. et Thomson,Illiciaceae (Hồi),Thuốc độc gây co giật.,(Không dùng).,Có độc.,(Không ghi rõ)
243,Hương bài,(Không có),Dianella ensifolia (L.) DC.,Liliaceae (Hành),"Rễ dùng làm thuốc trừ sâu, hương liệu .",(Không dùng cho người).,Có độc.,(Không ghi rõ)
244,Hương lâu,(Không có),Gynocardia odorata R. Br.,Flacourtiaceae (Bồ quân),Hạt ép dầu chữa bệnh hủi .,(Không dùng).,Hạt có độc.,(Không ghi rõ)
245,Cổ giải,địa liền,Kaempferia galanga L.,Zingiberaceae (Gừng),Trừ sâu bọ .,(Không dùng với mục đích này).,"Vị cay, tính ôn.",(Không ghi rõ)
246,Cúc trừ sâu,(Không có),Chrysanthemum cinerariifolium (Trevir.) Vis.,Asteraceae (Cúc),"Thuốc trừ sâu, diệt côn trùng .",(Không dùng cho người).,Có độc (với côn trùng).,(Không ghi rõ)
247,Tỏi độc,"náng, văn châu lan, chuối nước",Crinum asiaticum L.,Amaryllidaceae (Thủy tiên),"Đắp chữa mụn nhọt, bong gân.",Dùng ngoài.,Có độc.,(Không ghi rõ)
248,Cây ngọt nghẹo,"ngót nghẻo, ngoắt nghẻo",Gloriosa superba L.,Liliaceae (Hành),"Đắp chữa rắn cắn, mụn nhọt .",Dùng ngoài.,Có độc.,(Không ghi rõ)
249,Cây cho curaro,(Nhiều loại),"Strychnos sp., Chondrodendron sp.","Loganiaceae, Menispermaceae",Thuốc độc tẩm tên. Gây giãn cơ trong phẫu thuật .,(Dùng trong y học hiện đại).,Rất độc.,(Không ghi rõ)
250,Sở,(Không có),Camellia japonica L.,Theaceae (Chè),"(Khô dầu hạt) Bón ruộng, duốc cá, trừ sâu .",(Không dùng cho người).,Có độc.,(Không ghi rõ)
251,Trẩu,(Không có),Vernicia montana Lour.,Euphorbiaceae (Thầu dầu),"(Dầu hạt) Dùng trong kỹ nghệ sơn, vecni.",(Không dùng cho người).,Hạt có độc.,(Không ghi rõ)
252,Cây lim,(Không có),Erythrophleum fordii Oliv.,Caesalpiniaceae (Vang),Vỏ cây là thuốc độc.,(Không dùng).,Rất độc.,(Không ghi rõ)
253,Mắc kẹn,"hoàng mộc hôi, sẻn, sắng",Zanthoxylum rhetsa (Roxb.) DC.,Rutaceae (Cam),Duốc cá.,(Không dùng).,Có độc.,(Không ghi rõ)
254,Thuốc lá,(Không có),Nicotiana tabacum L.,Solanaceae (Cà),"Trừ sâu bọ, chữa rắn cắn .",Dùng ngoài.,Có độc.,(Không ghi rõ)
255,Gai dâu,cà gai,Solanum aculeatissimum Jacq.,Solanaceae (Cà),"Chữa sâu răng, đau răng .",Dùng ngoài: đốt hạt xông.,Quả có độc.,(Không ghi rõ)
256,Cây sơn,(Không có),Rhus succedanea L.,Anacardiaceae (Đào lộn hột),"(Nhựa) Dùng trong kỹ nghệ sơn. Gây dị ứng, lở loét da .",(Không dùng làm thuốc).,Nhựa rất độc.,(Không ghi rõ)
257,Dây thuốc cá,(Không có),Derris elliptica (Roxb.) Benth.,Papilionaceae (Cánh bướm),"Duốc cá, trừ sâu .",(Không dùng cho người).,Có độc.,(Không ghi rõ)
258,Sơn tra,chua chát,Docynia indica (Wall.) Decne.,Rosaceae (Hoa hồng),"Giúp tiêu hóa thịt, chữa ăn uống không tiêu, đau bụng, đi lỏng.",6-12g/ngày (dạng thuốc sắc hoặc bột).,"Vị chua, ngọt, tính hơi ôn.","Tỳ, Vị, Can."
259,Mạch nha,(Không có),Hordeum sativum Jess.,Poaceae (Lúa),"Giúp tiêu hóa chất bột. Chữa ăn uống không tiêu, trướng bụng.",12-30g/ngày.,"Vị ngọt, tính ôn.","Tỳ, Vị."
260,Thần khúc,(Không có),(Hỗn hợp lên men),(Hỗn hợp lên men),"Giúp tiêu hóa. Chữa ăn uống không tiêu, đi lỏng, lỵ.",6-12g/ngày.,"Vị ngọt, cay, tính ôn.","Tỳ, Vị."
261,Đu đủ,(Không có),Carica papaya L.,Caricaceae (Đu đủ),"(Nhựa) Giúp tiêu hóa protit, trị giun. (Quả) Bổ, nhuận tràng.",2-4g nhựa.,(Không ghi rõ),(Không ghi rõ)
262,Kê nội kim,màng mề gà,(Gallus gallus domesticus),(Nguồn gốc động vật),"Giúp tiêu hóa, chữa trẻ em cam tích, biếng ăn, đái dầm.",3-6g/ngày.,"Vị ngọt, tính bình.","Tỳ, Vị, Tiểu tràng, Bàng quang."
263,Chỉ thực,(Không có),Citrus aurantium L.,Rutaceae (Cam),"Giúp tiêu hóa, chữa đầy bụng, ăn không tiêu.",4-8g/ngày.,"Vị đắng, tính hàn.","Tỳ, Vị."
264,Địa liền,"sơn nại, tam nại",Kaempferia galanga L.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, nhức đầu, cảm sốt.",4-8g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị."
265,Gừng,"sinh khương, can khương",Zingiber officinale Roscoe,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa nôn mửa, đau bụng, cảm lạnh, ho.",2-6g/ngày.,"Vị cay, tính ôn.","Phế, Tỳ, Vị."
266,Gừng gió,(Không có),Zingiber zerumbet (L.) Sm.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, trúng gió.",4-8g/ngày.,"Vị đắng, cay, tính ấm.",(Không ghi rõ)
267,Hạt sen,liên nhục,Nelumbo nucifera Gaertn.,Nymphaeaceae (Sen),"Bổ tỳ, an thần. Chữa di tinh, mộng tinh, tiêu chảy, ăn không tiêu.",10-30g/ngày.,"Vị ngọt, sáp, tính bình.","Tỳ, Thận, Tâm."
268,Hạt tiêu,hồ tiêu,Piper nigrum L.,Piperaceae (Hồ tiêu),"Giúp tiêu hóa, chữa đau bụng lạnh, nôn mửa, tiêu chảy.",1-3g/ngày.,"Vị cay, tính nóng.","Vị, Đại tràng."
269,Hậu phác,(Không có),Magnolia officinalis Rehd. et Wils.,Magnoliaceae (Mộc lan),"Giúp tiêu hóa, chữa đầy bụng, ăn không tiêu, nôn mửa, đi lỏng.",4-12g/ngày.,"Vị đắng, cay, tính ôn.","Tỳ, Vị, Đại tràng."
270,Hoắc hương,(Không có),Pogostemon cablin (Blanco) Benth.,Lamiaceae (Hoa môi),"Giúp tiêu hóa, chữa ăn không tiêu, nôn mửa, cảm cúm.",6-12g/ngày.,"Vị cay, tính hơi ôn.","Tỳ, Vị, Phế."
271,Long đờm thảo,(Không có),Gentiana scabra Bunge,Gentianaceae (Long đởm),"Giúp tiêu hóa, chữa ăn không tiêu, sốt, đau mắt đỏ.",4-12g/ngày.,"Vị đắng, tính hàn.","Can, Đởm, Bàng quang."
272,Nga truật,"nghệ đen, nghệ tím",Curcuma zedoaria (Berg.) Roscoe,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, ăn không tiêu, bế kinh.",3-6g/ngày.,"Vị đắng, cay, tính ôn.",Can.
273,Ngô thù du,(Không có),Evodia rutaecarpa (Juss.) Benth.,Rutaceae (Cam),"Giúp tiêu hóa, chữa đau bụng, nôn mửa, ỉa lỏng.",2-5g/ngày.,"Vị cay, đắng, tính nóng, có độc.","Can, Vị, Tỳ, Thận."
274,Ngũ gia bì,(Không có),Acanthopanax aculeatus Seem.,Araliaceae (Nhân sâm),"Bổ, mạnh gân cốt. Chữa đau lưng, tê thấp.",6-12g/ngày.,"Vị cay, tính ôn.","Can, Thận."
275,Ớt,(Không có),Capsicum frutescens L.,Solanaceae (Cà),"Giúp tiêu hóa, chữa đau bụng, ăn không tiêu. Dùng ngoài chữa đau nhức.",0.5-1g/ngày.,"Vị cay, tính nóng.","Tâm, Tỳ."
276,Quít - Trần bì,(Không có),Citrus reticulata Blanco,Rutaceae (Cam),"Giúp tiêu hóa, chữa ho, nôn mửa, đầy bụng.",4-12g/ngày.,"Vị cay, đắng, tính ôn.","Tỳ, Phế."
277,Riềng,cao lương khương,Alpinia officinarum Hance,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, nôn mửa, ăn không tiêu.",3-6g/ngày.,"Vị cay, tính nóng.","Tỳ, Vị."
278,Xương bồ,thạch xương bồ,Acorus gramineus Soland. ex Aiton,Araceae (Ráy),"Giúp tiêu hóa, chữa đau bụng, đi lỏng, an thần.",4-8g/ngày.,"Vị cay, tính ôn.","Tâm, Can, Tỳ."
279,Bạch biển đậu,đậu ván trắng,Dolichos lablab L.,Papilionaceae (Cánh bướm),"Bổ tỳ, chữa tiêu chảy, ăn uống không tiêu.",8-16g/ngày.,"Vị ngọt, tính hơi ôn.","Tỳ, Vị."
280,Bạch truật,(Không có),Atractylodes macrocephala Koidz.,Asteraceae (Cúc),"Bổ tỳ, kiện vị. Chữa ăn uống không tiêu, đầy trướng, nôn mửa, ỉa lỏng.",6-12g/ngày.,"Vị ngọt, đắng, tính ôn.","Tỳ, Vị."
281,Thương truật,(Không có),Atractylodes lancea (Thunb.) DC.,Asteraceae (Cúc),"Kiện tỳ, táo thấp. Chữa ăn không tiêu, ỉa lỏng, thủy thũng.",6-12g/ngày.,"Vị cay, đắng, tính ôn.","Tỳ, Vị."
282,Đơn lá đỏ,đơn mặt trời,Excoecaria cochinchinensis Lour.,Euphorbiaceae (Thầu dầu),"Chữa lỵ, tiêu chảy lâu ngày, mẩn ngứa.",6-12g/ngày.,"Vị đắng, ngọt, tính mát.",(Không ghi rõ)
283,Đùm đùm,(Không có),Mallotus repandus (Willd.) Muell.Arg.,Euphorbiaceae (Thầu dầu),Giúp tiêu hóa.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
284,Mâm xôi,(Không có),Rubus alceaefolius Poir.,Rosaceae (Hoa hồng),"Chữa lỵ, tiêu chảy.",15-30g/ngày.,(Không ghi rõ),(Không ghi rõ)
285,Mộc hương,(Không có),Saussurea lappa C.B.Clarke,Asteraceae (Cúc),"Giúp tiêu hóa, chữa đau bụng, đầy trướng, nôn mửa, lỵ.",3-6g/ngày.,"Vị cay, đắng, tính ôn.","Can, Tỳ, Vị, Đại tràng, Tam tiêu, Đởm."
286,Rau đay,(Không có),Corchorus olitorius L.,Tiliaceae (Đay),"Chữa lỵ, táo bón.",(Ăn).,(Không ghi rõ),(Không ghi rõ)
287,Dương xuân sa,(Không có),Amomum villosum Lour.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, đầy hơi, nôn mửa, an thai.",2-5g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị, Thận."
288,Sa nhân,(Không có),Amomum longiligulare T.L.Wu,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, đầy hơi, nôn mửa, an thai.",2-5g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị, Thận."
289,Đậu khấu,bạch đậu khấu,Amomum cardamomum L.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, đầy hơi, nôn mửa.",4-8g/ngày.,"Vị cay, tính ôn.","Phế, Tỳ, Vị."
290,Thảo đậu khấu,(Không có),Alpinia katsumadai Hayata,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng lạnh, nôn mửa.",4-8g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị."
291,Hồng đậu khấu,riềng,Alpinia galanga (L.) Willd.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, nôn mửa.",3-6g/ngày.,"Vị cay, tính nóng.","Tỳ, Vị."
292,Ích trí nhân,(Không có),Alpinia oxyphylla Miq.,Zingiberaceae (Gừng),"Bổ tỳ, chữa đau bụng, đi lỏng, đái dầm, di tinh.",4-8g/ngày.,"Vị cay, tính ôn.","Tỳ, Thận."
293,Nhục đậu khấu,(Không có),Myristica fragrans Houtt.,Myristicaceae (Nhục đậu khấu),"Giúp tiêu hóa, chữa đau bụng, ăn không tiêu, nôn mửa, đi lỏng.",0.5-1g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị, Đại tràng."
294,Thành ngạnh,(Không có),Cratoxylon prunifolium (Kurz) Dyer,Clusiaceae (Bứa),"Giúp tiêu hóa, chữa rắn cắn.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
295,Thảo quả,(Không có),Amomum tsaoko Crevost et Lem.,Zingiberaceae (Gừng),"Giúp tiêu hóa, chữa đau bụng, nôn mửa, sốt rét.",3-6g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị."
296,Thị (Tai quả),thị đế,Diospyros kaki L.f.,Ebenaceae (Thị),Chữa nấc.,6-12g/ngày.,"Vị đắng, chát, tính bình.",Vị.
297,Bách bệnh,(Không có),Eurycoma longifolia Jack,Simaroubaceae (Thanh thất),"Chữa ăn không tiêu, nôn mửa, sốt rét, lỵ.",4-12g/ngày.,"Vị đắng, tính ôn.",(Không ghi rõ)
298,Hublông,hoa bia,Humulus lupulus L.,Cannabaceae (Gai mèo),"Giúp tiêu hóa, an thần.",1-2g/ngày.,Vị đắng.,(Không ghi rõ)
299,Cây dung,(Không có),Symplocos laurina (Retz.) Wall. ex G.Don,Symplocaceae (Dung),"Chữa đau bụng, tiêu chảy.",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
300,Hoa tiên,đan sâm,Salvia miltiorrhiza Bunge,Lamiaceae (Hoa môi),"Bổ huyết, hoạt huyết, chữa kinh nguyệt không đều, đau bụng.",6-12g/ngày.,"Vị đắng, tính hơi hàn.","Tâm, Can."
301,Màng tang,(Không có),Litsea cubeba (Lour.) Pers.,Lauraceae (Long não),"Giúp tiêu hóa, chữa đau dạ dày, đau bụng.","6-12g rễ, cành, lá/ngày.",(Không ghi rõ),(Không ghi rõ)
302,Rau mùi,(Không có),Coriandrum sativum L.,Apiaceae (Hoa tán),"Giúp tiêu hóa, chữa sởi.",(Dùng làm gia vị).,(Không ghi rõ),(Không ghi rõ)
303,Nấm hương,(Không có),Lentinus edodes (Berk.) Singer,Agaricaceae (Nấm),"Bổ, giúp tiêu hóa, hạ cholesterol máu.",(Dùng làm thực phẩm).,(Không ghi rõ),(Không ghi rõ)
304,Thiên đầu thống,uy linh tiên,Clematis chinensis Osbeck,Ranunculaceae (Mao Lương),"Chữa đau nhức, tê thấp.",6-12g/ngày.,"Vị cay, mặn, tính ôn.",Bàng quang.
305,Tai chua,(Không có),Garcinia cowa Roxb. ex Choisy,Clusiaceae (Bứa),Giúp tiêu hóa.,(Dùng làm gia vị).,Vị chua.,(Không ghi rõ)
306,Thìa là,(Không có),Anethum graveolens L.,Apiaceae (Hoa tán),"Giúp tiêu hóa, chữa đau bụng, nôn mửa.",4-8g hạt/ngày.,(Không ghi rõ),(Không ghi rõ)
307,Vôi,(Không có),(Canxi oxit),(Khoáng vật),"Chữa lở loét, mụn nhọt.",Dùng ngoài.,"Vị cay, tính ôn, có độc.",(Không ghi rõ)
308,Cây lá men,(Không có),Croton poilanei Gagnep.,Euphorbiaceae (Thầu dầu),Giúp tiêu hóa.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
309,Sổ,(Không có),Dillenia indica L.,Dilleniaceae (Sổ),"Chữa đau bụng, tiêu chảy.",2-4g quả/ngày.,"Vị chua, chát.",(Không ghi rõ)
310,Thanh ngâm,(Không có),Picria fel-terrae Lour.,Scrophulariaceae (Hoa mõm chó),"Giúp tiêu hóa, chữa sốt, ho.",6-12g/ngày.,"Vị đắng, tính hàn.",(Không ghi rõ)
311,Kha tử,chiêu liêu,Terminalia chebula Retz.,Combretaceae (Bàng),"Liễm phế, cầm ho, chữa ho lâu ngày, viêm họng, khản tiếng, lỵ mãn tính, trĩ.",3-6g/ngày (sắc hoặc ngậm).,"Vị đắng, chua, chát, tính bình.","Phế, Vị, Đại tràng."
312,Măng cụt (Vỏ quả),(Không có),Garcinia mangostana L.,Clusiaceae (Bứa),"Chữa lỵ, tiêu chảy, đau bụng.",6-12g/ngày (dạng thuốc sắc).,"Vị chua, chát, tính bình.",(Không ghi rõ)
313,Ngũ bội tử,(Không có),(Tổ sâu Galla chinensis),(Tổ sâu),"Chữa lỵ mãn tính, tiêu chảy, ra mồ hôi trộm, ho lâu ngày.",2-6g/ngày.,"Vị chua, chát, tính bình.","Phế, Vị, Đại tràng, Thận."
314,Cây ổi,(Không có),Psidium guajava L.,Myrtaceae (Sim),"Chữa lỵ, tiêu chảy.","15-20g búp non, lá non/ngày (sắc).",Vị chát.,(Không ghi rõ)
315,Ô dược,(Không có),Lindera myrrha (Lour.) Merr.,Lauraceae (Long não),"Chữa đau bụng, ăn không tiêu, nôn mửa, kinh nguyệt không đều.",3-6g/ngày.,"Vị cay, đắng, tính ôn.","Phế, Tỳ, Thận, Bàng quang."
316,Sim,(Không có),Rhodomyrtus tomentosa (Aiton) Hassk.,Myrtaceae (Sim),"Chữa lỵ, tiêu chảy.",Búp/lá: 20-30g. Rễ: 15-20g. Quả: 8-12g.,"Vị ngọt, chát, tính bình.",(Không ghi rõ)
317,Trầm hương,(Không có),Aquilaria crassna Pierre ex Lecomte,Thymelaeaceae (Trầm),"Giáng khí, chữa nôn mửa, đau bụng, hen suyễn.",0.3-3g/ngày (dạng bột).,"Vị cay, tính ôn.","Thận, Tỳ, Vị."
318,Kiến kỳ nam,(Không có),Aquilaria sinensis (Lour.) Gilg,Thymelaeaceae (Trầm),Tương tự Trầm hương.,Tương tự Trầm hương.,Tương tự Trầm hương.,Tương tự Trầm hương.
319,Cà rốt,(Không có),Daucus carota L.,Apiaceae (Hoa tán),"Chữa lỵ, tiêu chảy.",(Ăn).,"Vị ngọt, tính bình.",(Không ghi rõ)
320,Preah phneou,(Không có),Stemona sp.,Stemonaceae (Bách bộ),Chữa lỵ.,10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
321,Củ nâu,(Không có),Dioscorea cirrhosa Lour.,Dioscoreaceae (Củ nâu),"Chữa lỵ, tiêu chảy.",10-15g/ngày.,"Vị ngọt, đắng, chát.",(Không ghi rõ)
322,Vải (Hạt),lệ chi,Litchi chinensis Sonn.,Sapindaceae (Bồ hòn),Chữa tiêu chảy ở trẻ em.,4-8g/ngày (hạt nướng).,(Không ghi rõ),(Không ghi rõ)
323,Khoai riềng,(Không có),Canna edulis Ker Gawl.,Cannaceae (Dong riềng),Chữa lỵ.,20-30g/ngày.,(Không ghi rõ),(Không ghi rõ)
